;JAN;JAN;FEB;FEB;MAR;MAR;APR;APR;MAY;MAY;JUN;JUN;JUL;JUL;AUG;AUG;SEP;SEP;OCT;OCT;NOV;NOV;DEC;DEC
;08h00;14h00;08h00;14h00;08h00;14h00;08h00;14h00;08h00;14h00;08h00;14h00;08h00;14h00;08h00;14h00;08h00;14h00;08h00;14h00;08h00;14h00;08h00;14h00
2000;88;71.63;89.74;76.63;90.35;76.02;89.87;70.83;90.1;68.56;91.09;67.45;91.32;64.98;89.29;57.25;81.58;69.12;85.27;68.37;85.02;70.63;82.91;64.03
2001;83.92;64.77;87.77;74.18;91.22;75.31;91.45;68.38;91.62;64.66;91.27;75.67;88.88;58.18;89.88;62.01;82.94;62.54;82.4;61.78;89.1;80.2;86.36;71.68
2002;85.42;62.3;85.46;59.4;86.35;62.67;88.1;69.94;86.86;56.51;87.06;63.53;88.52;61.99;89.84;57.99;81.7;57.88;80.55;61.7;79.99;63.63;80.15;63.68
2003;81.16;58.39;80.63;61.16;85.63;65.28;89.02;62.14;89.7;66.18;88.9;70.35;89.58;63.98;86.29;60.57;86.83;64.25;81.29;60.84;80.38;62.28;77.48;58.73
2004;84.42;63.6;88.2;67.07;89.4;71.28;91.59;74.93;91.83;65.87;89.66;65.44;90.31;68.25;91.3;64.77;84.35;61.82;84.04;59.7;82.19;60.19;82.89;63.25
2005;84.79;60.31;84.51;60.31;89.8;70.1;87.77;65.98;89.29;61.31;88.68;62.07;92.16;66.46;87.98;59.46;82.6;55.21;81.88;62.06;78.53;59.79;83.92;68.36
2006;87.6;74.21;86.62;67.11;90.16;69.4;88.64;67.96;87.59;60.61;92.62;68.21;96.55;53.25;87.28;60.62;84.15;59.65;81.12;60.96;82.19;62.14;80.24;55.91
2007;83.93;57.57;86.44;63.33;86.75;30.16;91.16;66.75;87.09;56.35;90.49;63.04;87.65;60.23;84.11;53.02;84.35;53.49;82.95;66.83;79.18;59.93;87.38;71.23
2008;87.7;69.48;84.53;59.47;89.13;59.97;89.16;60.55;89.95;64.41;90.57;63.22;88.56;62.89;86.93;60.11;84.02;57.36;80.2;58.27;80.96;65.76;81.57;65.41
2009;86.17;70.37;86.41;68.08;89.97;64.85;88.5;64;89.55;64.97;85.29;60.35;85.29;60.35;85.85;62.34;81.18;59.87;80.15;63.18;80.48;62.77;79.7;62.08
2010;82.74;65.6;83.16;63.29;86.52;67.99;90.15;73.88;89.22;67.79;85.51;61.57;87.29;65.74;86.29;62.15;82.1;59.22;78.09;58.34;80.04;65.79;83.48;68.2
2011;86.82;74.9;85.65;65.87;86.47;62.09;88.4;67.82;88.68;61.31;85.63;57.12;87.36;66.43;87.38;61.8;81.87;55.99;82.95;63.39;87.18;77.08;86.55;77.51
2012;89.47;79.08;92.03;82.08;91.52;79.98;89.27;70.08;89.27;75.75;86.29;71.97;88.55;76.44;86.47;69.42;87.55;76.91;88.36;76.92;84.98;75.2;86.61;75.07
2013;90.62;82.34;90.35;79.52;91.71;79.67;87.9;77.5;88.82;76.48;88.82;75.5;88.93;75.61;89.47;77.84;89.68;78.5;90.83;82.32;90.13;83.49;91.54;85.77
2014;92.09;86.65;93.06;89.09;93.09;89.78;88.94;80.62;88.24;80.62;86.16;70.33;89.03;69.75;87.56;70.18;85.47;70.15;84.09;76.09;86.45;78.9;87.2;83.28
2015;90.3;84.52;91.31;82.84;88.78;80;91.9;80.76;90.93;77.67;85.17;73.02;87.14;73.54;87.03;73.48;90.18;77.54;88.74;77.35;86.62;79.16;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;76;
