posto;months since 1960-01-01;mm/month
2;Dec 2007 - Feb 2008;87.95041
3;Dec 2007 - Feb 2008;82.36352
4;Dec 2007 - Feb 2008;85.34579
5;Dec 2007 - Feb 2008;92.26743
1;Dec 2008 - Feb 2009;111.0254
2;Dec 2008 - Feb 2009;112.1589
3;Dec 2008 - Feb 2009;127.6503
4;Dec 2008 - Feb 2009;126.7165
5;Dec 2008 - Feb 2009;129.1484
1;Dec 2009 - Feb 2010;76.06015
2;Dec 2009 - Feb 2010;75.69806
3;Dec 2009 - Feb 2010;72.84149
4;Dec 2009 - Feb 2010;68.20953
5;Dec 2009 - Feb 2010;71.39169
1;Dec 2010 - Feb 2011;108.1475
2;Dec 2010 - Feb 2011;113.5207
3;Dec 2010 - Feb 2011;115.8462
4;Dec 2010 - Feb 2011;116.474
5;Dec 2010 - Feb 2011;111.1321
1;Dec 2011 - Feb 2012;67.41692
2;Dec 2011 - Feb 2012;65.28251
3;Dec 2011 - Feb 2012;70.06843
4;Dec 2011 - Feb 2012;78.5104
5;Dec 2011 - Feb 2012;79.97762
1;Dec 2012 - Feb 2013;156.1802
2;Dec 2012 - Feb 2013;163.7077
3;Dec 2012 - Feb 2013;167.0631
4;Dec 2012 - Feb 2013;135.9784
5;Dec 2012 - Feb 2013;147.3303
1;Dec 2013 - Feb 2014;100.4748
2;Dec 2013 - Feb 2014;100.2845
3;Dec 2013 - Feb 2014;84.23858
4;Dec 2013 - Feb 2014;75.75113
5;Dec 2013 - Feb 2014;77.7126
1;Dec 2014 - Feb 2015;107.9971
2;Dec 2014 - Feb 2015;108.5297
3;Dec 2014 - Feb 2015;102.3201
4;Dec 2014 - Feb 2015;108.5533
5;Dec 2014 - Feb 2015;109.0859
