Type;date;mm_rain
239;31 Aug 75;0
240;30-sep-75;0
241;31-oct-75;0
242;30-nov-75;0
243;31 Dec 75;0
244;31 Jan 76;0
245;29-feb-76;0
246;31-mar-76;0
247;30 Apr 76;0
248;31-may-76;0
249;30-jun-76;0
250;31-jul-76;0
251;31 Aug 76;0
252;30-sep-76;0
253;31-oct-76;0
254;30-nov-76;0
255;31 Dec 76;0
256;31 Jan 77;0
257;28-feb-77;0
258;31-mar-77;0
259;30 Apr 77;0
260;31-may-77;0
261;30-jun-77;0
262;31-jul-77;0
263;31 Aug 77;0
264;30-sep-77;0
265;31-oct-77;0
266;30-nov-77;518.968.877
267;31 Dec 77;2.191.499.726
268;31 Jan 78;230.353.111
269;28-feb-78;3.444.999.932
270;31-mar-78;1.893.000.097
271;30 Apr 78;172.000.009
272;31-may-78;283.000.001
273;30-jun-78;324.000.012
274;31-jul-78;160.000.015
275;31 Aug 78;100.000.005
276;30-sep-78;40.099.996
277;31-oct-78;0
278;30-nov-78;565.000.018
279;31 Dec 78;549.593.633
280;31 Jan 79;846.406.392
281;28-feb-79;378.320.222
282;31-mar-79;1.284.679.666
283;30 Apr 79;210.000.006
284;31-may-79;325.000.118
285;30-jun-79;114.999.994
286;31-jul-79;0
287;31 Aug 79;0
288;30-sep-79;0
289;31-oct-79;0
290;30-nov-79;0
291;31 Dec 79;0
292;31 Jan 80;0
293;29-feb-80;0
294;31-mar-80;0
295;30 Apr 80;0
296;31-may-80;0
297;30-jun-80;0
298;31-jul-80;75.000.002
299;31 Aug 80;146.000.006
300;30-sep-80;608.999.952
301;31-oct-80;0
302;30-nov-80;674.000.057
303;31 Dec 80;269.999.962
304;31 Jan 81;981.999.804
305;28-feb-81;1.695.999.865
306;31-mar-81;361.000.025
307;30 Apr 81;29.486.721
308;31-may-81;1.159.132.997
309;30-jun-81;69.999.989
310;31-jul-81;100.000.005
311;31 Aug 81;110.000.008
312;30-sep-81;2.001.000.075
313;31-oct-81;479.999.862
314;30-nov-81;631.000.093
315;31 Dec 81;921.999.848
316;31 Jan 82;124.000.009
317;28-feb-82;268.999.993
318;31-mar-82;392.999.994
319;30 Apr 82;104.999.995
320;31-may-82;17.5
321;30-jun-82;54.999.993
322;31-jul-82;0
323;31 Aug 82;0
324;30-sep-82;0
325;31-oct-82;0
326;30-nov-82;0
327;31 Dec 82;0
328;31 Jan 83;0
329;28-feb-83;0
330;31-mar-83;0
331;30 Apr 83;0
332;31-may-83;0
333;30-jun-83;0
334;31-jul-83;0
335;31 Aug 83;0
336;30-sep-83;0
337;31-oct-83;0
338;30-nov-83;0
339;31 Dec 83;0
340;31 Jan 84;0
341;29-feb-84;0
342;31-mar-84;0
343;30 Apr 84;0
344;31-may-84;0
345;30-jun-84;0
346;31-jul-84;0
347;31 Aug 84;0
348;30-sep-84;0
349;31-oct-84;0
350;30-nov-84;0
351;31 Dec 84;0
352;31 Jan 85;0
353;28-feb-85;0
354;31-mar-85;0
355;30 Apr 85;0
356;31-may-85;0
357;30-jun-85;0
358;31-jul-85;0
359;31 Aug 85;0
360;30-sep-85;0
361;31-oct-85;0
362;30-nov-85;0
363;31 Dec 85;0
364;31 Jan 86;0
365;28-feb-86;0
366;31-mar-86;0
367;30 Apr 86;0
368;31-may-86;0
369;30-jun-86;0
370;31-jul-86;0
371;31 Aug 86;0
372;30-sep-86;0
373;31-oct-86;0
374;30-nov-86;0
375;31 Dec 86;0
376;31 Jan 87;0
377;28-feb-87;0
378;31-mar-87;0
379;30 Apr 87;0
380;31-may-87;0
381;30-jun-87;0
382;31-jul-87;0
383;31 Aug 87;0
384;30-sep-87;0
385;31-oct-87;0
386;30-nov-87;0
387;31 Dec 87;0
388;31 Jan 88;0
389;29-feb-88;0
390;31-mar-88;0
391;30 Apr 88;0
392;31-may-88;0
393;30-jun-88;0
394;31-jul-88;0
395;31 Aug 88;0
396;30-sep-88;0
397;31-oct-88;0
398;30-nov-88;0
399;31 Dec 88;0
400;31 Jan 89;0
401;28-feb-89;0
402;31-mar-89;0
403;30 Apr 89;0
404;31-may-89;0
405;30-jun-89;0
406;31-jul-89;0
407;31 Aug 89;0
408;30-sep-89;0
409;31-oct-89;0
410;30-nov-89;0
411;31 Dec 89;0
412;31 Jan 90;0
413;28-feb-90;0
414;31-mar-90;0
415;30 Apr 90;0
416;31-may-90;0
417;30-jun-90;0
418;31-jul-90;0
419;31 Aug 90;0
420;30-sep-90;0
421;31-oct-90;0
422;30-nov-90;0
423;31 Dec 90;0
424;31 Jan 91;0
425;28-feb-91;0
426;31-mar-91;0
427;30 Apr 91;0
428;31-may-91;0
429;30-jun-91;0
430;31-jul-91;0
431;31 Aug 91;0
432;30-sep-91;0
433;31-oct-91;0
434;30-nov-91;0
435;31 Dec 91;0
436;31 Jan 92;0
437;29-feb-92;0
438;31-mar-92;0
439;30 Apr 92;0
440;31-may-92;0
441;30-jun-92;0
442;31-jul-92;0
443;31 Aug 92;0
444;30-sep-92;0
445;31-oct-92;0
446;30-nov-92;0
447;31 Dec 92;0
448;31 Jan 93;0
449;28-feb-93;0
450;31-mar-93;0
451;30 Apr 93;0
452;31-may-93;0
453;30-jun-93;0
454;31-jul-93;0
455;31 Aug 93;0
456;30-sep-93;0
457;31-oct-93;0
458;30-nov-93;0
459;31 Dec 93;0
460;31 Jan 94;0
461;28-feb-94;0
462;31-mar-94;0
463;30 Apr 94;0
464;31-may-94;0
465;30-jun-94;0
466;31-jul-94;0
467;31 Aug 94;0
468;30-sep-94;0
469;31-oct-94;0
470;30-nov-94;0
471;31 Dec 94;0
472;31 Jan 95;0
473;28-feb-95;0
474;31-mar-95;0
475;30 Apr 95;0
476;31-may-95;0
477;30-jun-95;0
478;31-jul-95;0
479;31 Aug 95;0
480;30-sep-95;0
481;31-oct-95;0
482;30-nov-95;0
483;31 Dec 95;0
484;31 Jan 96;0
485;29-feb-96;0
486;31-mar-96;0
487;30 Apr 96;0
488;31-may-96;0
489;30-jun-96;0
490;31-jul-96;0
491;31 Aug 96;0
492;30-sep-96;0
493;31-oct-96;0
494;30-nov-96;0
495;31 Dec 96;0
496;31 Jan 97;0
497;28-feb-97;0
498;31-mar-97;0
499;30 Apr 97;0
500;31-may-97;0
501;30-jun-97;0
502;31-jul-97;0
503;31 Aug 97;0
504;30-sep-97;0
505;31-oct-97;0
506;30-nov-97;0
507;31 Dec 97;0
508;31 Jan 98;0
509;28-feb-98;0
510;31-mar-98;0
511;30 Apr 98;0
512;31-may-98;0
513;30-jun-98;0
514;31-jul-98;0
515;31 Aug 98;0
516;30-sep-98;0
517;31-oct-98;0
518;30-nov-98;0
519;31 Dec 98;0
520;31 Jan 99;0
521;28-feb-99;0
522;31-mar-99;0
523;30 Apr 99;0
524;31-may-99;0
525;30-jun-99;0
526;31-jul-99;0
527;31 Aug 99;0
528;30-sep-99;0
529;31-oct-99;0
530;30-nov-99;0
531;31 Dec 99;0
532;31 Jan 00;0
533;29-feb-00;0
534;31-mar-00;0
535;30 Apr 00;0
536;31-may-00;0
537;30-jun-00;0
538;31-jul-00;0
539;31 Aug 00;0
540;30-sep-00;0
541;31-oct-00;0
542;30-nov-00;0
543;31 Dec 00;0
544;31 Jan 01;0
545;28-feb-01;0
546;31-mar-01;0
547;30 Apr 01;0
548;31-may-01;0
549;30-jun-01;0
