Type;date;mm_rain
264;31 Aug 76;0
265;30-sep-76;0
266;31-oct-76;8
267;30-nov-76;38.8
268;31 Dec 76;158.4
269;31 Jan 77;101.5
270;28-feb-77;421.6
271;31-mar-77;139.2
272;30 Apr 77;0
273;31-may-77;0
274;30-jun-77;0
275;31-jul-77;0
276;31 Aug 77;33.5
277;30-sep-77;70.2
278;31-oct-77;0
279;30-nov-77;0
280;31 Dec 77;0
281;31 Jan 78;0
282;28-feb-78;161.2
283;31-mar-78;0
284;30 Apr 78;0
285;31-may-78;0
286;30-jun-78;0
287;31-jul-78;0
288;31 Aug 78;0
289;30-sep-78;0
290;31-oct-78;34.6
291;30-nov-78;97.7
292;31 Dec 78;25
293;31 Jan 79;51.5
294;28-feb-79;42.44
295;31-mar-79;48.56
296;30 Apr 79;40.5
297;31-may-79;0
298;30-jun-79;0
299;31-jul-79;7.5
300;31 Aug 79;0
301;30-sep-79;0
302;31-oct-79;129.5
303;30-nov-79;0
304;31 Dec 79;92.7
305;31 Jan 80;48.58
306;29-feb-80;105.42
307;31-mar-80;36.2
308;30 Apr 80;11
309;31-may-80;0
310;30-jun-80;0
311;31-jul-80;0
312;31 Aug 80;62.2
313;30-sep-80;13
314;31-oct-80;52
315;30-nov-80;94.3
316;31 Dec 80;30.9
317;31 Jan 81;146.38
318;28-feb-81;73.42
319;31-mar-81;135.6
320;30 Apr 81;0
321;31-may-81;58
322;30-jun-81;0
323;31-jul-81;0
324;31 Aug 81;0
325;30-sep-81;78
326;31-oct-81;95
327;30-nov-81;97
328;31 Dec 81;86
329;31 Jan 82;0
330;28-feb-82;0
331;31-mar-82;0
332;30 Apr 82;0
333;31-may-82;0
334;30-jun-82;0
335;31-jul-82;0
336;31 Aug 82;0
337;30-sep-82;0
338;31-oct-82;0
339;30-nov-82;0
340;31 Dec 82;0
341;31 Jan 83;0
342;28-feb-83;0
343;31-mar-83;0
344;30 Apr 83;0
345;31-may-83;0
346;30-jun-83;0
347;31-jul-83;0
348;31 Aug 83;0
349;30-sep-83;0
350;31-oct-83;0
351;30-nov-83;0
352;31 Dec 83;0
353;31 Jan 84;0
354;29-feb-84;0
355;31-mar-84;0
356;30 Apr 84;0
357;31-may-84;0
358;30-jun-84;0
359;31-jul-84;0
360;31 Aug 84;0
361;30-sep-84;0
362;31-oct-84;0
363;30-nov-84;0
364;31 Dec 84;0
365;31 Jan 85;0
366;28-feb-85;0
367;31-mar-85;0
368;30 Apr 85;0
369;31-may-85;0
370;30-jun-85;0
371;31-jul-85;0
372;31 Aug 85;0
373;30-sep-85;0
374;31-oct-85;0
375;30-nov-85;0
376;31 Dec 85;0
377;31 Jan 86;0
378;28-feb-86;0
379;31-mar-86;0
380;30 Apr 86;0
381;31-may-86;0
382;30-jun-86;0
383;31-jul-86;0
384;31 Aug 86;0
385;30-sep-86;0
386;31-oct-86;0
387;30-nov-86;0
388;31 Dec 86;0
389;31 Jan 87;0
390;28-feb-87;0
391;31-mar-87;0
392;30 Apr 87;0
393;31-may-87;0
394;30-jun-87;0
395;31-jul-87;0
396;31 Aug 87;0
397;30-sep-87;0
398;31-oct-87;0
399;30-nov-87;0
400;31 Dec 87;0
401;31 Jan 88;0
402;29-feb-88;0
403;31-mar-88;0
404;30 Apr 88;0
405;31-may-88;0
406;30-jun-88;0
407;31-jul-88;0
408;31 Aug 88;0
409;30-sep-88;0
410;31-oct-88;0
411;30-nov-88;0
412;31 Dec 88;0
413;31 Jan 89;0
414;28-feb-89;0
415;31-mar-89;0
416;30 Apr 89;0
417;31-may-89;0
418;30-jun-89;0
419;31-jul-89;0
420;31 Aug 89;0
421;30-sep-89;0
